Shi0_1	सुदूरपूर्वको जिल्ला ताप्लेजुङमा नेकपा एमालेले चुनावी तयारीलाई तीव्र पारेको छ
Shi0_2	एमाले केन्द्रीय सचिवसमेत रहेका पूर्वमन्त्री योगेश भट्टराईको चुनाव क्षेत्र
Shi0_3	ताप्लेजुङमा आगामी निर्वाचनको सम्भावित
Shi0_4	आफ्नो ध्यानाकर्षण भएको जनाएको छ
Shi0_5	धर्मशास्त्रमा विभिन्न मत भए पनि हाम्रो शाखा सूत्रअनुसार
Shi0_6	बुधबारदेखि नयाँ शुल्क तोकेको हो
Shi0_7	बोर्डले नौ वर्षमा पहिलो पटक उच्च वृद्धि गरेको हो
Shi0_8	आठ सय  प्रतिशतभन्दा बढी शुल्क वृद्धि 
Shi0_9	अनुरोध गरेको थियो
Shi0_10	चिस्याङ खोलाको पुल धरापमा परेको छ
Shi0_11	छानबिनमा ट्रम्प दोषी ठहरिए 
Shi0_12	राष्ट्रपतीय उम्मेदवार बन्न नपाउने कतिपयले बताइरहेका छन्
Shi0_13	अनुसन्धानमा भएको प्रगति
Shi0_14	नेपालले झण्डै एक दशकयता ईयूको प्रतिबन्ध खेपिरहेको छ
Shi0_15	हामीले विषयवस्तु सच्याउनका लागि पठाउँछौँ
Shi0_16	मैले बुझे अनुसार त्यो टुक्र्याउनै पर्ने सर्तका रूपमा राखिएको छैन
Shi0_17	घरेलु मैदानमा आयोजना हुने 
Shi0_18	महिला साफ च्याम्पियनसिप फुटबल प्रतियोगिता
Shi0_19	टिकट मूल्य निर्धारण गरेको छ
Shi0_20	एन्फाको जारी दोस्रो कार्यसमिति
Shi0_21	बैठकले दुई फरक टिकट मूल्य निर्धारण गरेको छ
Shi0_22	आयोजक नेपाल समूह बी मा रहेको हो
Shi0_23	यस समूहमा नेपालसहित श्रीलंका र भुटान छन्
Shi0_24	एन्फाको बिहीबार बसेको दोस्रो कार्यसमिति बैठक
Shi0_25	सात सदस्यीय कमिटी गठन गरेको हो
Shi0_26	बैठकमा सहभागी एक केन्द्रीय सदस्यका अनुसार
Shi0_27	शेर्पाको नेतृत्वमा एनएसएल सुरू भएको थियो
Shi0_28	एनएसएल सम्बन्धमा छलफल भएको थियो
Shi0_29	सम्झौता रद्दका लागि एन्फासँग माग गरेका थिए
Shi0_30	निर्णयगर्दापनि आफूले छाड्नुपरेको प्रशंग
Shi0_31	माओवादी केन्द्रका नेता नारायणकाजी
Shi0_32	ठूलो दल कांग्रेसका केन्द्रीय सदस्य पाण्डेले यस्तो बताएका हुन्
Shi0_33	बाबा भोलि आउनुहुन्छ
Shi0_34	बुबा आउँदै हुनुहुन्छ
Shi0_35	हजुरबुबा आउँदै हुनुहुन्छ
Shi0_36	नगर प्रमुख उपेन्द्र कार्कीको नेतृत्वमा नयाँ सहर निर्माणको काम भइरहेको छ
Shi0_37	राष्ट्रिय परिचय पत्र बनाउन अघिल्लो दिन राति ८ बजेदेखि नै लाइन सुरु हुन्छ
Shi0_38	सोमबार रातभर नारायणहिटी संग्रहालयको पश्चिम गेटमा बसेर
Shi0_39	अनलाइनखबरले गरेको स्थलगत रिपोर्टिङ
Shi0_40	 प्रतिनिधिसभा निर्वाचन हुन सय दिनजति बाँकी
Shi0_41	दलहरू गठबन्धन बनाउने प्रयासमा दौडधुप गरिरहेका छन्
Shi0_42	सत्ता गठबन्धनमा रहेका कांग्रेस
Shi0_43	चुनावमा पनि उनीहरु गठबन्धन कायमै राखेर जान चाहन्छन् 
Shi0_44	सरकारले स्वास्थ्य बीमाको समस्या समाधान गर्नका लागि
Shi0_45	हिराचन्द्र केसीको अध्यक्षमा चार सदस्य कार्यदल गठन गरेको छ
Shi0_46	स्वास्थ्य बीमाको कार्यक्रमको अवस्था
Shi0_47	जनसंख्यालय मन्त्रीस्तरीय बैठक
Shi0_48	स्वास्थ्य मन्त्रालयका अतिरिक्त स्वास्थ्य सचिव
Shi0_49	स्वास्थ्य बीमा राम्रो अवधारणा
Shi0_50	भए पनि उद्देश्य अनुरूप
Shi0_51	नागरिकले सेवा नपाउँदा
Shi0_52	कार्यक्रमको प्रभावकारिता माथि नै प्रश्न उब्जिएको
Shi0_53	सेवा प्राप्त गर्न लामो समय लाइन कुर्न बाध्य हुनु
Shi0_54	बीमा गरेका र बीमा नगरेका बिरामी
Shi0_55	बीमा कार्यक्रमप्रति नागरिकको विश्वास घट्दै गइरहेको छ
